Index,Fixture,Date,Promotion,Match type,Event,WON rating
5883,"AJ Styles, Karl Anderson & Luke Gallows vs. Braun Strowman, Erik & Ivar",10/06/2019,World Wrestling Entertainment,Six Man Tag Team,WWE Hell In A Cell 2019 ,*1/2
5884,Bayley vs. Charlotte Flair,10/06/2019,World Wrestling Entertainment,Singles,WWE Hell In A Cell 2019 ,**1/4
5885,Chad Gable vs. King Corbin,10/06/2019,World Wrestling Entertainment,Singles,WWE Hell In A Cell 2019 ,*1/4
5886,Alexa Bliss & Nikki Cross vs. Asuka & Kairi Sane,10/06/2019,World Wrestling Entertainment,Tag Team,WWE Hell In A Cell 2019 ,**1/4
5887,Ali vs. Randy Orton,10/06/2019,World Wrestling Entertainment,Singles,WWE Hell In A Cell 2019 ,***1/4
5888,Seth Rollins vs. The Fiend,10/06/2019,World Wrestling Entertainment,Hell In A Cell,WWE Hell In A Cell 2019 ,-**
5889,Daniel Bryan & Roman Reigns vs. Erick Rowan & Luke Harper,10/06/2019,World Wrestling Entertainment,Tornado Tag Team,WWE Hell In A Cell 2019 ,****
5890,Becky Lynch vs. Sasha Banks,10/06/2019,World Wrestling Entertainment,Hell In A Cell,WWE Hell In A Cell 2019 ,****
5891,Asuka & Kairi Sane vs. Becky Lynch & Charlotte Flair,10/07/2019,World Wrestling Entertainment,Tag Team,WWE Monday Night RAW #1376 ,
5892,Lacey Evans vs. Natalya,10/07/2019,World Wrestling Entertainment,Last Woman Standing,WWE Monday Night RAW #1376 ,
5893,Dolph Ziggler & Robert Roode vs. Erik & Ivar,10/07/2019,World Wrestling Entertainment,Tag Team,WWE Monday Night RAW #1376 ,
5894,Kushida vs. WALTER,10/09/2019,World Wrestling Entertainment,Singles,WWE NXT #494 ,***3/4
5895,Drew Gulak vs. Lio Rush,10/09/2019,World Wrestling Entertainment,Singles,WWE NXT #494 ,
5896,Isaiah Scott vs. Roderick Strong,10/09/2019,World Wrestling Entertainment,Singles,WWE NXT #494 ,
5897,Bianca Belair vs. Dakota Kai,10/09/2019,World Wrestling Entertainment,Singles,WWE NXT #494 ,
5898,Bayley vs. Charlotte Flair,10/11/2019,World Wrestling Entertainment,Singles,WWE Friday Night SmackDown #1051 - Draft 2019 ,
5899,Roman Reigns vs. Seth Rollins,10/11/2019,World Wrestling Entertainment,Singles,WWE Friday Night SmackDown #1051 - Draft 2019 ,
5900,King Corbin vs. Shorty Gable,10/11/2019,World Wrestling Entertainment,Singles,WWE Friday Night SmackDown #1051 - Draft 2019 ,
5901,Becky Lynch vs. Charlotte Flair,10/14/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1377 - Draft 2019 ,
5902,Buddy Murphy vs. Cedric Alexander,10/14/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1377 - Draft 2019 ,
5903,Dolph Ziggler & Robert Roode vs. Erik & Ivar,10/14/2019,World Wrestling Entertainment,Tag Team,WWE Monday Night RAW #1377 - Draft 2019 ,
5904,Ali vs. Andrade,10/14/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1377 - Draft 2019 ,
5905,Damian Priest vs. Pete Dunne,10/16/2019,World Wrestling Entertainment,Singles,WWE NXT #495 ,****
5906,Dominik Dijakovic vs. Keith Lee,10/16/2019,World Wrestling Entertainment,Singles,WWE NXT #495 ,
5907,Danny Burch & Oney Lorcan vs. Fabian Aichner & Marcel Barthel,10/16/2019,World Wrestling Entertainment,Tag Team,WWE NXT #495 ,
5908,Roman Reigns vs. Shinsuke Nakamura,10/18/2019,World Wrestling Entertainment,Singles,WWE Friday Night SmackDown #1052 ,
5909,Daniel Bryan & Roman Reigns vs. King Corbin & Shinsuke Nakamura,10/18/2019,World Wrestling Entertainment,Tag Team,WWE Friday Night SmackDown #1052 ,
5910,Drew McIntyre vs. Ricochet,10/21/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1378 ,***3/4
5911,Humberto Carrillo vs. Seth Rollins,10/21/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1378 ,
5912,Andrade vs. Sin Cara,10/21/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1378 ,
5913,Dominik Dijakovic vs. Keith Lee vs. Roderick Strong,10/23/2019,World Wrestling Entertainment,Triple Threat,WWE NXT #496 ,****
5914,"Fandango, Isaiah Scott & Tyler Breeze vs. Jaxson Ryker, Steve Cutler & Wesley Blake",10/23/2019,World Wrestling Entertainment,Six Man Tag Team,WWE NXT #496 ,
5915,Bianca Belair vs. Rhea Ripley,10/23/2019,World Wrestling Entertainment,Singles,WWE NXT #496 ,
5916,Cameron Grimes vs. Matt Riddle,10/23/2019,World Wrestling Entertainment,Singles,WWE NXT #496 ,
5917,"Ali, Roman Reigns & Shorty G vs. Cesaro, King Corbin & Shinsuke Nakamura",10/25/2019,World Wrestling Entertainment,Six Man Tag Team,WWE Friday Night SmackDown #1053 ,****1/4
5918,Erick Rowan vs. Seth Rollins,10/28/2019,World Wrestling Entertainment,Falls Count Anywhere,WWE Monday Night RAW #1379 ,
5919,Drew McIntyre vs. Ricochet,10/28/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1379 ,
5920,Becky Lynch vs. Kairi Sane,10/28/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1379 ,
5921,AJ Styles vs. Humberto Carrillo,10/28/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1379 ,
5922,Cameron Grimes vs. Tyler Bate,10/30/2019,World Wrestling Entertainment,Singles,WWE NXT #497 ,***3/4
5923,Bobby Fish & Kyle O'Reilly vs. Keith Lee & Matt Riddle,10/30/2019,World Wrestling Entertainment,Tag Team,WWE NXT #497 ,
5924,Asuka & Kairi Sane vs. Dakota Kai & Tegan Nox,10/30/2019,World Wrestling Entertainment,Tag Team,WWE NXT #497 ,
5925,Candice LeRae vs. Io Shirai,10/30/2019,World Wrestling Entertainment,Singles,WWE NXT #497 ,
5926,Braun Strowman vs. Tyson Fury,10/31/2019,World Wrestling Entertainment,Singles,WWE Crown Jewel 2019 ,DUD
