Index,Fixture,Date,Promotion,Match type,Event
6354,Hirooki Goto vs. Masato Tanaka,11/12/2011,New Japan Pro Wrestling,Singles,NJPW Power Struggle 2011
6355,Tomohiro Ishii vs. Yuji Nagata,11/12/2011,New Japan Pro Wrestling,Singles,NJPW Power Struggle 2011
6356,Davey Richards & Rocky Romero vs. KUSHIDA & Tiger Mask,11/12/2011,New Japan Pro Wrestling,Tag Team,NJPW Power Struggle 2011
6357,Hiroshi Tanahashi vs. Toru Yano,11/12/2011,New Japan Pro Wrestling,Singles,NJPW Power Struggle 2011
6358,Minoru Suzuki vs. Yuji Nagata,11/04/2011,New Japan Pro Wrestling,Singles,NJPW Wrestle Kingdom V In Tokyo Dome
6359,Masato Tanaka vs. MVP,10/10/2011,New Japan Pro Wrestling,Singles,NJPW Destruction 2011
6360,Minoru Suzuki vs. Togi Makabe,10/10/2011,New Japan Pro Wrestling,Singles,NJPW Destruction 2011
6361,Toru Yano vs. Yuji Nagata,10/10/2011,New Japan Pro Wrestling,Singles,NJPW Destruction 2011
6362,Hiroshi Tanahashi vs. Tetsuya Naito,10/10/2011,New Japan Pro Wrestling,Singles,NJPW Destruction 2011
6363,Davey Richards & Rocky Romero vs. Prince Devitt & Ryusuke Taguchi,10/10/2011,New Japan Pro Wrestling,Tag Team,NJPW Destruction 2011
6364,KUSHIDA vs. Tetsuya Naito,09/21/2011,New Japan Pro Wrestling,Singles,NJPW NEVER.7 ~Go To The Next Level~
6365,KUSHIDA vs. Prince Devitt,09/19/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax Special 2011 - Tag 11
6366,Hiroshi Tanahashi vs. Shinsuke Nakamura,09/19/2011,New Japan Pro Wrestling,Singles,NJPW G1 Climax Special 2011 - Tag 11
6367,Akira Taue vs. BLACK BUSHI vs. Gedo vs. Hideo Saito vs. Hiromu Takahashi vs. Joe Doering vs. Jun Nishikawa vs. Kentaro Shiga vs. Kento Miyahara vs. King Fale vs. KUSHIDA vs. Lee Che Gyong vs. Masanobu Fuchi vs. Masao Inoue vs. MAZADA vs. Rene Dupree vs. Satoshi Kajiwara vs. Soshun vs. Super Strong Machine vs. Takaaki Watanabe vs. Takumi Soya vs. Tomoaki Honma vs. Tomohiro Ishii vs. Yasufumi Nakanoue vs. Yoshinari Ogawa vs. Zack Sabre Jr.,08/27/2011,New Japan Pro Wrestling,Battle Royal,NJPW/AJPW/NOAH All Together 2011
6368,Akitoshi Saito & Togi Makabe vs. Hirooki Goto & Taiyo Kea,08/27/2011,New Japan Pro Wrestling,Tag Team,NJPW/AJPW/NOAH All Together 2011
6369,"Akebono, Ryota Hama, Takeshi Morishima & Yutaka Yoshie vs. Hiroyoshi Tenzan, Osamu Nishimura, Wataru Inoue & Yuji Nagata",08/27/2011,New Japan Pro Wrestling,Eight Man Tag Team,NJPW/AJPW/NOAH All Together 2011
6370,"BUSHI, Hiroshi Yamato, Kota Ibushi & Taiji Ishimori vs. Kaz Hayashi, Ricky Marvin, Shuji Kondo & Tiger Mask",08/27/2011,New Japan Pro Wrestling,Eight Man Tag Team,NJPW/AJPW/NOAH All Together 2011
6371,"Genba Hirayanagi, KENTA, Koji Kanemoto, Minoru & Yoshinobu Kanemaru vs. KAI, Katsuhiko Nakajima, Kotaro Suzuki, Prince Devitt & Ryusuke Taguchi",08/27/2011,New Japan Pro Wrestling,Ten Man Tag Team,NJPW/AJPW/NOAH All Together 2011
6372,"Atsushi Aoki, Minoru Suzuki & Taichi vs. Jushin Thunder Liger, Masakatsu Funaki & Takuma Sano",08/27/2011,New Japan Pro Wrestling,Six Man Tag Team,NJPW/AJPW/NOAH All Together 2011
