Index,Fixture,Date,Promotion,Match type,Event,WON rating
144,The Big Bossman vs. The Road Dogg,01/24/1999,World Wrestling Federation,Singles,WWF Royal Rumble 1999 - No Chance In Hell ,
145,Gangrel vs. X-Pac,01/24/1999,World Wrestling Federation,Singles,WWF Royal Rumble 1999 - No Chance In Hell ,
146,Mankind vs. The Rock,01/24/1999,World Wrestling Federation,I Quit,WWF Royal Rumble 1999 - No Chance In Hell ,***3/4
147,Billy Gunn vs. Test,01/12/1999,World Wrestling Federation,Singles,WWF RAW is WAR #295 ,
148,Mankind vs. The Big Bossman,01/12/1999,World Wrestling Federation,Hardcore,WWF RAW is WAR #295 ,
149,Chyna vs. Gerald Brisco & Pat Patterson,01/12/1999,World Wrestling Federation,Two On One Handicap,WWF RAW is WAR #295 ,
150,Gangrel vs. The Road Dogg,01/12/1999,World Wrestling Federation,Hardcore,WWF RAW is WAR #295 ,***1/4
151,Billy Gunn vs. Chyna vs. Kane vs. Ken Shamrock vs. Test vs. The Big Bossman vs. The Road Dogg vs. Triple H vs. Vince McMahon vs. X-Pac,01/11/1999,World Wrestling Federation,Rumble,WWF RAW is WAR #294 ,
152,Kane vs. Mankind,01/11/1999,World Wrestling Federation,Singles,WWF RAW is WAR #294 ,
153,Owen Hart vs. Steve Blackman,01/10/1999,World Wrestling Federation,Lion's Den,WWF Sunday Night Heat #24 ,
154,Mankind vs. The Rock,12/29/1998,World Wrestling Federation,No Disqualification,WWF RAW is WAR #293 ,
155,Al Snow vs. The Road Dogg,12/29/1998,World Wrestling Federation,Singles,WWF RAW is WAR #293 ,
156,Mankind vs. The Road Dogg,12/28/1998,World Wrestling Federation,Singles,WWF RAW is WAR #292 ,
157,The Big Bossman vs. X-Pac,12/28/1998,World Wrestling Federation,Singles,WWF RAW is WAR #292 ,
158,Ken Shamrock vs. Triple H,12/28/1998,World Wrestling Federation,Singles,WWF RAW is WAR #292 ,
159,The Big Bossman vs. The Road Dogg,12/15/1998,World Wrestling Federation,Singles,WWF RAW is WAR #291 ,
160,Billy Gunn vs. Ken Shamrock,12/15/1998,World Wrestling Federation,Singles,WWF RAW is WAR #291 ,
161,Test & The Rock vs. Triple H & X-Pac,12/15/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #291 ,
162,Ken Shamrock vs. Mankind vs. The Big Bossman vs. The Rock,12/14/1998,World Wrestling Federation,Fatal Four Way,WWF Sunday Night Heat #21 ,
163,Billy Gunn & The Road Dogg vs. Ken Shamrock & The Big Bossman,12/14/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #290 ,
164,The Rock vs. Triple H,12/14/1998,World Wrestling Federation,Singles,WWF RAW is WAR #290 ,
165,D-Lo Brown & Mark Henry vs. The Godfather & Val Venis,12/13/1998,World Wrestling Federation,Tag Team,WWF In Your House 26: Rock Bottom ,
166,Golga & Kurrgan vs. Mosh & Thrasher,12/13/1998,World Wrestling Federation,Tag Team,WWF In Your House 26: Rock Bottom ,
167,Owen Hart vs. Steve Blackman,12/13/1998,World Wrestling Federation,Singles,WWF In Your House 26: Rock Bottom ,
168,"Al Snow, Bob Holly & Scorpio vs. Christian, Edge & Gangrel",12/13/1998,World Wrestling Federation,Six Man Tag Team,WWF In Your House 26: Rock Bottom ,
169,Goldust vs. Jeff Jarrett,12/13/1998,World Wrestling Federation,Striptease,WWF In Your House 26: Rock Bottom ,
170,Billy Gunn & The Road Dogg vs. Ken Shamrock & The Big Bossman,12/13/1998,World Wrestling Federation,Tag Team,WWF In Your House 26: Rock Bottom ,
171,Steve Austin vs. The Undertaker,12/13/1998,World Wrestling Federation,Buried Alive,WWF In Your House 26: Rock Bottom ,
172,Mankind vs. The Rock,12/13/1998,World Wrestling Federation,Singles,WWF In Your House 26: Rock Bottom ,***1/4
173,Kane vs. Mankind vs. Steve Austin vs. The Undertaker,12/06/1998,World Wrestling Federation,Fatal Four Way,WWF Capital Carnage ,
174,Al Snow vs. Gangrel,12/06/1998,World Wrestling Federation,Singles,WWF Capital Carnage ,
175,Goldust vs. Val Venis,12/06/1998,World Wrestling Federation,Singles,WWF Capital Carnage ,
176,Ken Shamrock vs. Steve Blackman,12/06/1998,World Wrestling Federation,Singles,WWF Capital Carnage ,
177,Jeff Jarrett vs. Triple H,12/06/1998,World Wrestling Federation,Singles,WWF Capital Carnage ,
178,Billy Gunn & The Road Dogg vs. D-Lo Brown & Mark Henry,12/06/1998,World Wrestling Federation,Tag Team,WWF Capital Carnage ,
179,The Rock vs. X-Pac,12/06/1998,World Wrestling Federation,Singles,WWF Capital Carnage ,
180,Mankind & Steve Austin vs. The Rock & The Undertaker,12/01/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #289 ,
181,Ken Shamrock & The Big Bossman vs. Triple H & X-Pac,12/01/1998,World Wrestling Federation,Anything Goes Tag Team,WWF RAW is WAR #289 ,
182,Al Snow vs. The Rock,11/30/1998,World Wrestling Federation,Singles,WWF RAW is WAR #288 ,
183,Mankind vs. The Big Bossman,11/30/1998,World Wrestling Federation,Ladder,WWF RAW is WAR #288 ,
184,Apolo Dantes vs. Negro Casas,11/29/1998,World Wrestling Federation,Singles,WWF Super Astros #4 ,
185,Dick Togo vs. Steven Regal,11/17/1998,World Wrestling Federation,Singles,WWF Shotgun Saturday Night ,
186,Billy Gunn & The Road Dogg vs. Bob Holly & Scorpio,11/17/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #287 ,
187,D-Lo Brown & Mark Henry vs. Edge & Gangrel,11/17/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #287 ,
188,The Rock vs. X-Pac,11/17/1998,World Wrestling Federation,Singles,WWF RAW is WAR #287 ,
189,Ken Shamrock vs. Mankind vs. The Big Bossman,11/17/1998,World Wrestling Federation,Triple Threat,WWF RAW is WAR #287 ,
190,Steve Austin vs. The Rock,11/16/1998,World Wrestling Federation,Singles,WWF RAW is WAR #286 ,
191,Mankind vs. Steve Austin,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game ,
192,The Rock vs. The Undertaker,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game ,
193,Kane vs. The Undertaker,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game ,
194,Steven Regal vs. X-Pac,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game ,
195,Goldust vs. Ken Shamrock,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game ,
196,Ken Shamrock vs. The Rock,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game ,
197,Billy Gunn & The Road Dogg vs. D-Lo Brown & Mark Henry vs. Mosh & Thrasher,11/15/1998,World Wrestling Federation,Three Way Dance,WWF Survivor Series 1998 - Deadly Game ,
198,Mankind vs. The Rock,11/15/1998,World Wrestling Federation,Singles,WWF Survivor Series 1998 - Deadly Game ,***1/2
199,Ken Shamrock vs. Mankind,11/03/1998,World Wrestling Federation,Singles,WWF RAW is WAR #285 ,
200,D-Lo Brown vs. Mosh vs. The Road Dogg,11/03/1998,World Wrestling Federation,Triple Threat,WWF RAW is WAR #285 ,
201,Mark Henry vs. The Rock,11/03/1998,World Wrestling Federation,Singles,WWF RAW is WAR #285 ,
202,Manuel Gomez vs. Papi Chulo,11/02/1998,World Wrestling Federation,Singles,WWF Super Astros #2 ,
203,D-Lo Brown & Mark Henry vs. Mosh & Thrasher,11/02/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #284 ,
204,Goldust vs. Steven Regal,11/02/1998,World Wrestling Federation,Singles,WWF RAW is WAR #284 ,
205,Ken Shamrock vs. The Rock,11/02/1998,World Wrestling Federation,Singles,WWF RAW is WAR #284 ,***1/2
206,Al Snow & Mankind vs. Billy Gunn & The Road Dogg,10/20/1998,World Wrestling Federation,Tag Team,WWF RAW is WAR #283 ,
207,Ken Shamrock vs. Steve Austin,10/20/1998,World Wrestling Federation,I Quit,WWF RAW is WAR #283 ,
208,D-Lo Brown & Ken Shamrock vs. Mankind & X-Pac,10/19/1998,World Wrestling Federation,Tag Team,WWF Sunday Night Heat #13 ,
209,Christian vs. Taka Michinoku,10/18/1998,World Wrestling Federation,Singles,WWF In Your House 25: Judgment Day 1998 ,
210,"8-Ball, Paul Ellering & Skull vs. Animal, Droz & Hawk",10/18/1998,World Wrestling Federation,Six Man Tag Team,WWF In Your House 25: Judgment Day 1998 ,
