,Match,Date,Promotion,Match Type,Event,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8
87,Billy Gunn vs. Triple H,04/26/1999,World Wrestling Federation,Singles,WWF RAW is WAR #309,Billy Gunn,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
88,Ken Shamrock vs. The Undertaker,04/25/1999,World Wrestling Federation,Singles,WWF Backlash 1999,Ken Shamrock,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
89,"Bradshaw, Faarooq & Mideon vs. Christian, Edge & Gangrel",04/25/1999,World Wrestling Federation,Six Man Tag Team,WWF Backlash 1999,Bradshaw,Faarooq,Mideon,Christian,Edge,Gangrel,n/a,n/a
90,Al Snow vs. Hardcore Holly,04/25/1999,World Wrestling Federation,Singles,WWF Backlash 1999,Al Snow,Hardcore Holly,n/a,n/a,n/a,n/a,n/a,n/a
91,Billy Gunn & The Road Dogg vs. Jeff Jarrett & Owen Hart,04/25/1999,World Wrestling Federation,Tag Team,WWF Backlash 1999,Billy Gunn,The Road Dogg,Jeff Jarrett,Owen Hart,n/a,n/a,n/a,n/a
92,Triple H vs. X-Pac,04/25/1999,World Wrestling Federation,Singles,WWF Backlash 1999,Triple H,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
93,Goldust vs. The Godfather,04/25/1999,World Wrestling Federation,Singles,WWF Backlash 1999,Goldust,The Godfather,n/a,n/a,n/a,n/a,n/a,n/a
94,Steve Austin vs. The Rock,04/25/1999,World Wrestling Federation,No Holds Barred,WWF Backlash 1999,Steve Austin,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
95,Mankind vs. The Big Show,04/25/1999,World Wrestling Federation,Boiler Room Brawl,WWF Backlash 1999,Mankind,The Big Show,n/a,n/a,n/a,n/a,n/a,n/a
96,Bradshaw & Faarooq vs. Edge & Gangrel,04/13/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #308,Bradshaw,Faarooq,Edge,Gangrel,n/a,n/a,n/a,n/a
97,Mankind vs. Triple H,04/13/1999,World Wrestling Federation,Singles,WWF RAW is WAR #308,Mankind,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
98,Billy Gunn vs. Jeff Jarrett,04/13/1999,World Wrestling Federation,Singles,WWF RAW is WAR #308,Billy Gunn,Jeff Jarrett,n/a,n/a,n/a,n/a,n/a,n/a
99,Kane & X-Pac vs. Test & Triple H,04/12/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #307,Kane,X-Pac,Test,Triple H,n/a,n/a,n/a,n/a
100,Jeff Jarrett & Owen Hart vs. Kane & X-Pac,03/30/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #306,Jeff Jarrett,Owen Hart,Kane,X-Pac,n/a,n/a,n/a,n/a
101,Billy Gunn & The Road Dogg vs. Edge & Gangrel,03/30/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #306,Billy Gunn,The Road Dogg,Edge,Gangrel,n/a,n/a,n/a,n/a
102,Gangrel vs. Ken Shamrock,03/29/1999,World Wrestling Federation,Singles,WWF RAW is WAR #305,Gangrel,Ken Shamrock,n/a,n/a,n/a,n/a,n/a,n/a
103,Billy Gunn vs. The Rock,03/29/1999,World Wrestling Federation,Singles,WWF RAW is WAR #305,Billy Gunn,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
104,Al Snow vs. Billy Gunn vs. Hardcore Holly,03/28/1999,World Wrestling Federation,Triple Threat,"WWF WrestleMania XV - ""The Ragin' Climax""",Al Snow,Billy Gunn,Hardcore Holly,n/a,n/a,n/a,n/a,n/a
105,Mankind vs. Paul Wight,03/28/1999,World Wrestling Federation,Singles,"WWF WrestleMania XV - ""The Ragin' Climax""",Mankind,Paul Wight,n/a,n/a,n/a,n/a,n/a,n/a
